shape_k,cv,MD_constrained,MD_constrained_sd,MD_unconstrained,MD_unconstrained_sd,gap,gap_sd,max_sum_err
8.0,0.354,0.03121501600777358,0.005689518582971777,0.04364038941501042,0.014577058875100466,-0.01242537340723684,0.01833663709375086,0.0
5.0,0.447,0.030762039932233632,0.0052237340036398626,0.04303064820273241,0.014667291354219536,-0.012268608270498785,0.018115051495828143,0.0
3.0,0.577,0.03083071981325016,0.005367302314520188,0.044696365801188014,0.015995651007586688,-0.013865645987937849,0.01911991102014143,0.0
2.0,0.707,0.03172931408178282,0.006332376182396545,0.044772981698900045,0.016207289589070386,-0.01304366761711723,0.019758209449068895,0.0
1.5,0.816,0.03329860569866744,0.008004827036571108,0.045780200074542296,0.014914140407489316,-0.012481594375874858,0.018951887745855576,0.0
1.0,1.0,0.03129045831245817,0.005854009643145557,0.05490282469869222,0.015592847633261674,-0.02361236638623405,0.01536934381235999,0.0
0.7,1.195,0.046024687695705405,0.011101976327002586,0.053035892522318606,0.014518163662474753,-0.007011204826613211,0.01631661425754661,1.4551915228366852e-11
0.5,1.414,0.051473734214491786,0.013022087362854309,0.05825451088302299,0.02069104485521228,-0.006780776668531203,0.02258411031216347,0.0
0.35,1.69,0.06302237823546065,0.014454448936022934,0.0727610889263779,0.02413710376597568,-0.009738710690917257,0.02966003668411783,0.0
0.25,2.0,0.07950523033012867,0.019782290067625358,0.10061984968460605,0.031563919743545804,-0.021114619354477376,0.034099610440331,0.0
0.18,2.357,0.10848872780901544,0.031064915296633768,0.14107982735853686,0.03429054249315282,-0.03259109954952143,0.0458569837938075,0.0
0.12,2.887,0.2231459619630532,0.06623346744116346,0.3224443580225022,0.04475303543724397,-0.09929839605944903,0.07298703775551679,1.4551915228366852e-11
